# Тайлы «Песнь Тамги». Поля '|', пробелы обрезаются, '#' — комментарий.
# kind: safe | support | check    check: none | body | mind | spirit
# Враги (check) дерутся на дороге. Карты (support, placement=field) ставятся в поле и мерджатся:
# 3 связкой одного line+tier -> tier+1. boost_stat/boost_amount = живой бонус героя пока стоит.
# Линии: 1 Война(Сила/body) 2 Табун(Скорость/mind) 3 Степь(Выносл/spirit) 4 Жильё(припасы) 5 Вода(хил).
#
# id | name | kind | check | diff_base | diff_per_circle | supplies | wisdom | glory | stamina_cost | stamina_restore | placement | line | tier | boost_stat | boost_amount

# --- враги (дорога) ---
wolf_track | Зверь     | check | body   | 2 | 1 | 2 | 0 | 0 | 0 | 0 | road | 0 | 0 | none   | 0 | Beast | Canavar
mirage     | Мираж     | check | mind   | 2 | 1 | 2 | 0 | 0 | 0 | 0 | road | 0 | 0 | none   | 0 | Mirage | Serap
storm      | Дух бури  | check | spirit | 3 | 1 | 3 | 0 | 0 | 0 | 0 | road | 0 | 0 | none   | 0 | Storm Spirit | Firtina Ruhu

# --- линия 1: Война -> Сила (живой бонус) ---
war_1   | Точило   | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 1 | 1 | body | 1 | Whetstone | Bileyi
war_2   | Кузня    | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 1 | 2 | body | 4 | Forge | Demirhane
war_3   | Арсенал  | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 1 | 3 | body | 13 | Arsenal | Cephanelik
war_4   | Оружейная| support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 1 | 4 | body | 42 | Armory | Silahhane
war_5   | Цитадель | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 1 | 5 | body | 135 | Citadel | Kale

# --- линия 2: Табун -> Скорость (живой бонус) ---
horse_1 | Коновязь | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 2 | 1 | mind | 1 | Hitching Post | Bag Diregi
horse_2 | Табун    | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 2 | 2 | mind | 4 | Herd | At Surusu
horse_3 | Орда     | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 2 | 3 | mind | 13 | Horde | Ordu
horse_4 | Тумен    | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 2 | 4 | mind | 42 | Tumen | Tumen
horse_5 | Великая Орда | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 2 | 5 | mind | 135 | Great Horde | Buyuk Ordu

# --- линия 3: Степь -> Выносливость (живой бонус, +макс ХП) ---
steppe_1 | Привал  | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 3 | 1 | spirit | 1 | Halt | Mola
steppe_2 | Стан    | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 3 | 2 | spirit | 4 | Camp | Konak
steppe_3 | Твердыня| support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 3 | 3 | spirit | 13 | Stronghold | Sur
steppe_4 | Крепость| support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 3 | 4 | spirit | 42 | Fortress | Hisar
steppe_5 | Вечный оплот | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 0 | field | 3 | 5 | spirit | 135 | Eternal Bastion | Ebedi Siginak

# --- линия 4: Жильё -> припасы РАЗОВО при смерти (банкуется в аул, НЕ за круг) ---
# Каждый тир > 3x предыдущего -> мердж всегда выгоднее по припасам + освобождает клетки.
home_1 | Саксаул     | support | none | 0 | 0 | 6   | 0 | 0 | 0 | 0 | field | 4 | 1 | none | 0 | Saxaul | Saksavul
home_2 | Юрта        | support | none | 0 | 0 | 20  | 0 | 0 | 0 | 0 | field | 4 | 2 | none | 0 | Yurt | Otag
home_3 | Аул-стоянка | support | none | 0 | 0 | 65  | 0 | 0 | 0 | 0 | field | 4 | 3 | none | 0 | Aul Camp | Aul Konagi
home_4 | Зимовка     | support | none | 0 | 0 | 210 | 0 | 0 | 0 | 0 | field | 4 | 4 | none | 0 | Winter Camp | Kislak
home_5 | Столица степи | support | none | 0 | 0 | 650 | 0 | 0 | 0 | 0 | field | 4 | 5 | none | 0 | Steppe Capital | Bozkir Baskenti

# --- линия 5: Вода -> восстановление ХП за круг ---
water_1 | Лужа        | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 2  | field | 5 | 1 | none | 0 | Puddle | Su Birikintisi
water_2 | Родник      | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 7  | field | 5 | 2 | none | 0 | Spring | Pinar
water_3 | Озеро жизни | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 20 | field | 5 | 3 | none | 0 | Lake of Life | Hayat Golu
water_4 | Река        | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 62 | field | 5 | 4 | none | 0 | River | Nehir
water_5 | Живая вода  | support | none | 0 | 0 | 0 | 0 | 0 | 0 | 190 | field | 5 | 5 | none | 0 | Living Water | Diri Su
